Hole Name,Collar X,Collar Y,Collar Z,Toe X,Toe Y,Toe Z,diameter,subdrill,shape,holeColour
1,478808.41,6772359.09,395.19,478808.41,6772359.09,392.5,127,0.2,mesh-cross,#FF0000
2,478804.03,6772357.7,395.58,478804.03,6772357.7,392.5,140,0.4,mesh-circle,#00FF00
3,478799.64,6772356.3,396.02,478799.64,6772356.3,392.5,151,0.6,mesh-diamond,#0000FF
4,478795.26,6772354.91,396.86,478795.26,6772354.91,392.5,165,0.8,mesh-square,#FFFF00
5,478790.88,6772353.52,397.41,478790.88,6772353.52,392.5,179,1,mesh-cylinder,#00FFFF
6,478786.49,6772352.13,397.92,478786.49,6772352.13,392.5,200,1.2,line-cross,#FF00FF
7,478782.11,6772350.73,398.47,478782.11,6772350.73,392.5,205,1.4,outline-circle,#FFA500
8,478777.72,6772349.34,399.27,478777.72,6772349.34,392.5,229,1.6,filled-circle,#800080
9,478773.34,6772347.95,400.35,478773.34,6772347.95,392.5,251,1.8,line-diamond,#FFC0CB
10,478768.96,6772346.55,401.29,478768.96,6772346.55,392.5,270,2,line-square,#A52A2A
11,478764.57,6772345.16,402.06,478764.57,6772345.16,392.5,311,2.2,line-triangle,#00FF00